symbol,bid_size,bid,ask,ask_size,lastPrice,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,underlying_asset,expiration,option_type,strike
GFGV4050DI,33,1.35,0.0,0,1.85,1.833,-0.1084,2.999,2.999,1.35,2.075,492207.0,2624,498,16:50:00,GGAL,2024-12-20,P,4050.0
GFGV4050FE,25,3.6,0.0,0,0.0,3.6,0.0,0.0,0.0,0.0,3.6,0.0,0,0,,GGAL,2025-02-21,P,4050.0
GFGV4200DI,44,1.5,0.0,0,2.2,2.124,-0.1723,2.01,2.9,1.53,2.658,421726.8,2110,437,16:59:00,GGAL,2024-12-20,P,4200.0
GFGV4200FE,22,3.75,0.0,0,0.0,3.75,0.0,0.0,0.0,0.0,3.75,0.0,0,0,,GGAL,2025-02-21,P,4200.0
GFGV42964D,0,0.0,0.0,0,2.2,2.191,-0.2261,3.85,3.85,1.8,2.843,689515.6,2833,861,16:59:00,GGAL,2024-12-20,P,42964.0
GFGV4400FE,30,4.35,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GGAL,2025-02-21,P,4400.0
GFGV4600DI,0,0.0,0.0,0,3.0,2.838,-0.33299999999999996,5.949,5.949,2.5,4.498,821054.5,2261,576,16:59:00,GGAL,2024-12-20,P,4600.0
GFGV4600FE,15,6.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GGAL,2025-02-21,P,4600.0
GFGV4800DI,0,0.0,0.0,0,4.65,4.325,-0.2789,7.95,7.95,4.0,6.449,1102120.8,1860,411,16:59:00,GGAL,2024-12-20,P,4800.0
GFGV5000DI,0,0.0,0.0,0,8.0,8.0,-0.3513,12.0,14.5,7.1,12.334,2585386.8,2475,521,16:59:00,GGAL,2024-12-20,P,5000.0
GFGV50964D,0,0.0,0.0,0,11.5,11.259,-0.2824,16.0,19.99,10.87,16.027,9838426.4,6410,755,16:59:00,GGAL,2024-12-20,P,50964.0
